title,title_normalized,description,release_date,total_duration,songs_count,cover_image_url,spotify_url,artist_id
TRAP CAKE VOL. 2,trap cake vol. 2,Financial reason fire.,2022-02-25,00:33:28,9,https://i.scdn.co/image/ab67616d0000b273b56b946d1020c4c9cc2a3829,https://open.spotify.com/album/2ZXwd2AzsVWTwp1oT3tfMI,46
VICE VERSA,vice versa,Friend attack late though begin marriage course.,2021-12-10,00:34:32,10,https://i.scdn.co/image/ab67616d0000b273d9525f27b0a9e25b1fa21230,https://open.spotify.com/album/2Nt6MDJXfoxQ22tIQgWXIh,46
Afrodisíaco,afrodisiaco,Experience here tell church little.,2020-11-13,00:36:41,10,https://i.scdn.co/image/ab67616d0000b2733926e048d839e1173fe17326,https://open.spotify.com/album/3fq06DDIkadDRB9RuBb22v,46
Concierto Virtual en Tiempos de COVID-19 Desde el Coliseo de Puerto Rico,concierto virtual en tiempos de covid-19 desde el coliseo de puerto rico,Produce seven across small stay agreement.,2020-05-29,00:24:53,10,https://i.scdn.co/image/ab67616d0000b273a2b86494a455bc0106bb8865,https://open.spotify.com/album/0i9MBa4hxPQcGqcOn5YSOz,46
"Trap Cake, Vol. 1","trap cake, vol. 1",Get important house bar somebody brother several.,2019-05-31,00:28:56,7,https://i.scdn.co/image/ab67616d0000b273d6f3549d11dabc88a250a6de,https://open.spotify.com/album/37rUi63O4koMFvrSC1EMam,46
Touching The Sky,touching the sky,Poor want my.,2024-05-23,00:03:07,1,https://i.scdn.co/image/ab67616d0000b273a84c3220180690ea84f392aa,https://open.spotify.com/album/5WLJs3zhRQGPTOpMhFnJqa,46
Espectacular,espectacular,Food matter tend support. Seven goal occur west.,2024-04-18,00:03:05,1,https://i.scdn.co/image/ab67616d0000b2730acf414348b3ca9a6f538690,https://open.spotify.com/album/2HLdCDKtyV4VxHLYk5xvAS,46
LA NENA,la nena,Moment six against truth place collection spend.,2024-04-11,00:03:20,1,https://i.scdn.co/image/ab67616d0000b2739b6ba2e8aff0caf9147195e0,https://open.spotify.com/album/3BJnF163GYLK8FUDw7Bzuw,46
LVEU: VIVE LA TUYA...NO LA MIA,lveu: vive la tuya...no la mia,By significant because shake some whole.,2023-09-18,00:28:04,10,https://i.scdn.co/image/ab67616d0000b273c75c054b6b209b0b91d818d8,https://open.spotify.com/album/1ZVJTCW5rxpHKNgsNL91J2,47
LA VIDA ES UNA,la vida es una,Yourself ever listen born perhaps.,2023-03-23,00:30:54,10,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,https://open.spotify.com/album/3puAvurwvtvi1rodndIPW8,47
LYKE MIKE,lyke mike,Safe speech boy decide.,2021-04-23,00:27:02,10,https://i.scdn.co/image/ab67616d0000b273c09ae45aa7c410ca6d194ded,https://open.spotify.com/album/5qhxJXwhtjXAmCr22FXG3Q,47
Easy Money Baby,easy money baby,Wife today type field new in certain.,2020-01-24,00:31:04,10,https://i.scdn.co/image/ab67616d0000b273a01abf0f3b93ee5902fef2a7,https://open.spotify.com/album/3dM5WCvdXdNqLE14d16GmJ,47
El Final del Principio,el final del principio,Stuff decision according newspaper itself stop.,2016-03-14,00:41:16,10,https://i.scdn.co/image/ab67616d0000b273bb4fe38c5a6e3bf7ea3ba8e6,https://open.spotify.com/album/2T2E0jmiYGfaHmjlNmMCys,47
Sin Panty (Remix),sin panty (remix),Cover show evening author week.,2024-06-13,00:02:14,1,https://i.scdn.co/image/ab67616d0000b273c9f6af180927a69dbc0f832b,https://open.spotify.com/album/129dtBNyDMVjuTLn6GaNa5,47
Maquillaje (feat. Yexel) [Remix],maquillaje (feat. yexel) [remix],Ball across machine sometimes bed.,2024-05-30,00:04:46,1,https://i.scdn.co/image/ab67616d0000b273ec0e7f8b2d1bb8a194f644cc,https://open.spotify.com/album/59Ji10hPziKlf6wB8N2KFZ,47
ADIVINO,adivino,Show thought raise where increase.,2024-04-25,00:04:38,1,https://i.scdn.co/image/ab67616d0000b273b41f34aa51be675c5cfd3d94,https://open.spotify.com/album/3sRyLQf04m9vm40JNRFiCl,47
LA FALDA (Club Remixes),la falda (club remixes),Member TV picture operation much.,2024-04-18,00:07:00,2,https://i.scdn.co/image/ab67616d0000b2734700415312325654666ae6e7,https://open.spotify.com/album/509zDIDBAFiHVnDnxK70dL,47
LA FALDA (Tiësto Remix),la falda (tiesto remix),Return bar safe.,2024-04-04,00:02:54,1,https://i.scdn.co/image/ab67616d0000b273fea1a08048a279e02dd829e3,https://open.spotify.com/album/6nkUCUZ4vT2z074AjCbr2s,47
Don Juan,don juan,Low near agree foreign direction.,2023-08-25,00:29:39,10,https://i.scdn.co/image/ab67616d0000b273d688b951a19f48941682e026,https://open.spotify.com/album/3Fk8yQvPlCHgwR2pNhEIRA,48
The Love & Sex Tape (Deluxe Edition),the love & sex tape (deluxe edition),Third throw nor laugh girl benefit.,2022-08-19,00:34:47,10,https://i.scdn.co/image/ab67616d0000b273f91040b50d7dd6ca2c800949,https://open.spotify.com/album/0C3ZDkBKTqGvwZzqaZMigT,48
The Love & Sex Tape,the love & sex tape,Big town thank foreign share.,2022-06-10,00:28:02,8,https://i.scdn.co/image/ab67616d0000b273a2ef288da2b8d21225b21f16,https://open.spotify.com/album/1CppHlux7Tg0ZUhWEaUudh,48
Marry Me (Original Motion Picture Soundtrack),marry me (original motion picture soundtrack),Tv without itself use easy drive.,2022-02-04,00:27:57,10,https://i.scdn.co/image/ab67616d0000b273a58f1eb209f9dbf6ed1180a9,https://open.spotify.com/album/6seUERIBHA7qbR5ReDm66x,48
#7DJ (7 Días En Jamaica),#7dj (7 dias en jamaica),Concern medical improve second specific.,2021-01-28,00:23:44,7,https://i.scdn.co/image/ab67616d0000b2736e33abfcc5af779bbcc03ef8,https://open.spotify.com/album/7vZC8PTQUCcw3687OxqY98,48
PAPI JUANCHO,papi juancho,Class others defense. Wonder since parent police.,2020-08-21,00:33:47,10,https://i.scdn.co/image/ab67616d0000b27387d15f78ec75621d40028baf,https://open.spotify.com/album/0p2yf6DucEgvj8Uk8KXJJv,48
11:11,11:11,Water most hour foreign choice which prevent.,2019-05-17,00:32:09,10,https://i.scdn.co/image/ab67616d0000b273073bc2070f7fa02b2a6bda64,https://open.spotify.com/album/3YIUNL7qFE8NP3X3zaYSND,48
F.A.M.E.,f.a.m.e.,Detail world sport think.,2018-05-18,00:32:25,10,https://i.scdn.co/image/ab67616d0000b2739fa9c0acaf11becc12d22300,https://open.spotify.com/album/6MoaDh76Fsg0ogW2l7HAFx,48
"Pretty Boy, Dirty Boy","pretty boy, dirty boy",Yard establish wear agree government.,2015-10-30,00:35:57,10,https://i.scdn.co/image/ab67616d0000b2733c3acd23605ccd1a9fd038bd,https://open.spotify.com/album/3PomvFR694SrCSZzDWMWV7,48
PB.DB. The Mixtape,pb.db. the mixtape,Occur gun free step fish.,2015-03-06,00:32:53,9,https://i.scdn.co/image/ab67616d0000b273d39c826125e85f59e5cbeb5f,https://open.spotify.com/album/6aAnALBukLj6fVuwfnMkvc,48
CVRBON VRMOR [C_DE: G_D.O.N.],cvrbon vrmor [c_de: g_d.o.n.],Forward woman camera body order blue.,2024-05-02,00:23:09,7,https://i.scdn.co/image/ab67616d0000b273ea609feffbb005dd9e5830dd,https://open.spotify.com/album/3zaBxuBf9zSlxZ20ZRHXXE,49
La 167,la 167,Drive black fact traditional enjoy hundred.,2021-10-01,00:34:27,10,https://i.scdn.co/image/ab67616d0000b273f1bd89fe6542ac73b8555f73,https://open.spotify.com/album/0T6QxdJZwYrXPHd829SnqK,49
En Letra de Otro,en letra de otro,While hotel last if leg sister nature.,2019-08-23,00:29:32,10,https://i.scdn.co/image/ab67616d0000b273367f50185aac0624644df395,https://open.spotify.com/album/4lsdX5CimNaabkZUxX6rx8,49
Gangalee,gangalee,Difference generation fish doctor help.,2019-04-26,00:39:30,10,https://i.scdn.co/image/ab67616d0000b273a4eeb8b5182833605c0dd1af,https://open.spotify.com/album/1PgFsarDcIwCvLX32DpcxB,49
TrapXficante,trapxficante,Hear debate hope impact finally town.,2017-09-15,00:36:39,10,https://i.scdn.co/image/ab67616d0000b273f5f4d2ea789691a700a66b97,https://open.spotify.com/album/0v94MG5nbp4w6xdeFkfQrA,49
Farruko Presents Los Menores,farruko presents los menores,Few enter score decade. Blue address rest.,2016-02-22,00:40:27,10,https://i.scdn.co/image/ab67616d0000b273a14a7f8df7ee9df4188633e4,https://open.spotify.com/album/4ic94lYuJ37YBXfgsMDUWf,49
Visionary,visionary,Account bar view statement community.,2015-10-23,00:37:27,10,https://i.scdn.co/image/ab67616d0000b273118504cbeaf4187aaa601395,https://open.spotify.com/album/1zFp5Q3Dgo8wmKsmfZ23QX,49
Imperio Nazza (Farruko Edition),imperio nazza (farruko edition),Board last amount course task decision.,2013-05-26,00:36:13,10,https://i.scdn.co/image/ab67616d0000b273159896093bca8a5326926dee,https://open.spotify.com/album/4Z0l4cuznDAsB2DytEF6uy,49
TMPR The Most Powerful Rookie,tmpr the most powerful rookie,Our executive several without.,2012-05-22,00:36:18,10,https://i.scdn.co/image/ab67616d0000b27343b8f002754c86450c9ce4c7,https://open.spotify.com/album/7we6nVThWlLqmzPEaBijzP,49
El Talento del Bloque,el talento del bloque,Beat woman value issue nature seem eat back.,2010-05-04,00:36:26,10,https://i.scdn.co/image/ab67616d0000b2736a5f4a693643417f48699dd5,https://open.spotify.com/album/2FGhhlr2SX31pVXnrd13kq,49
The Academy: Segunda Misión,the academy: segunda mision,Become prove skill name suggest into.,2024-03-28,00:35:14,9,https://i.scdn.co/image/ab67616d0000b273381877b5a52a8907785eda84,https://open.spotify.com/album/7HPtZ8XfUirtDilX4LZ9Cg,50
El Bloke Hills,el bloke hills,Direction condition none listen.,2023-09-21,00:26:05,9,https://i.scdn.co/image/ab67616d0000b273c41394d24a1283e056ee3e25,https://open.spotify.com/album/3bUFjO2k4a1KpnSjtpfwxc,50
42,42,Big significant recognize PM.,2021-04-15,00:33:21,10,https://i.scdn.co/image/ab67616d0000b273fe23dd528684203b1b2eb754,https://open.spotify.com/album/3tRrovXWGrSfBU3MYHqsVJ,50
1 of 1,1 of 1,Remain his successful research different other.,2020-05-21,00:29:34,10,https://i.scdn.co/image/ab67616d0000b273a00b470b311631817cc9fe93,https://open.spotify.com/album/3D1NZYi3GsenO5uWDFrRI6,50
Rich Music Sessions (Acústico En Vivo),rich music sessions (acustico en vivo),Simply card pretty worker in suffer experience.,2019-12-18,00:36:35,8,https://i.scdn.co/image/ab67616d0000b273008e438033d4dc8cc9cc8167,https://open.spotify.com/album/6jU5obP9snCcR57UjL9byA,50
The Academy,the academy,Attack individual always live.,2019-10-11,00:28:17,7,https://i.scdn.co/image/ab67616d0000b273ebff34fc857c2e80d1150249,https://open.spotify.com/album/1faqBAWocW4ZOe0OFjudGw,50
Sech (Sped Up),sech (sped up),Sell box black listen certain again.,2019-07-26,00:29:46,10,https://i.scdn.co/image/ab67616d0000b27308f1354c61bdd6a159486f2f,https://open.spotify.com/album/4iJ071JtfWdgzt4H7LaY2W,50
Sueños,suenos,Radio data similar able.,2019-04-19,00:33:59,10,https://i.scdn.co/image/ab67616d0000b2738643435482956bab8aa6fcfe,https://open.spotify.com/album/3TgOrQ3p23Af8zSsxK8fdX,50
The Sensation,the sensation,Doctor PM last other wide very save.,2018-12-06,00:26:06,8,https://i.scdn.co/image/ab67616d0000b2731e8e430ec0ff70e55e7cb8f9,https://open.spotify.com/album/7sxSaAYrq3kXLmTuGkIBFU,50
Cafecito,cafecito,Source its PM industry.,2024-05-31,00:02:34,1,https://i.scdn.co/image/ab67616d0000b2730b9f64b45e1b5ed2a11ed593,https://open.spotify.com/album/22APOaVCt7C6TsWH3XB3Sl,50
"Sentimiento, Elegancia y Más Maldad","sentimiento, elegancia y mas maldad",Project oil follow. Physical plant not support.,2023-11-17,00:28:01,10,https://i.scdn.co/image/ab67616d0000b2735947e677a3370208d0ba491d,https://open.spotify.com/album/21TAcmAXy0OY0U7B9LlwlY,51
Sr. Santos,sr. santos,Only plant everything worry compare.,2022-12-01,00:32:05,10,https://i.scdn.co/image/ab67616d0000b27330326b23e30ae93d4d48165b,https://open.spotify.com/album/2AvuFDqTlnxvYhyVaLU6NY,51
Los Favoritos 2.5,los favoritos 2.5,After night fear country.,2021-09-17,00:38:57,10,https://i.scdn.co/image/ab67616d0000b2733190e91e79cf75fa5fd5a627,https://open.spotify.com/album/1VkgKNe63Fqsyc7gRPQ1qC,51
Los Favoritos 2,los favoritos 2,Until from part data specific structure.,2020-10-16,00:37:00,10,https://i.scdn.co/image/ab67616d0000b273413e5bd524c5df71d040d752,https://open.spotify.com/album/2TUgzZ8XOE8jm7tDpU4iME,51
Historias de un Capricornio,historias de un capricornio,Feeling lead land from idea order these make.,2019-12-20,00:33:36,10,https://i.scdn.co/image/ab67616d0000b2737ce7c833a19b3552c318f080,https://open.spotify.com/album/0CPLMVp7rMi3BkzAMve96K,51
Ares,ares,Happen society program suddenly if sea.,2018-07-13,00:35:57,10,https://i.scdn.co/image/ab67616d0000b273f48143b885b851f2d5978749,https://open.spotify.com/album/7wE65dSZ8LZ1JgUIaMNsRw,51
Los Favoritos,los favoritos,Away two his fear.,2015-11-20,00:38:57,10,https://i.scdn.co/image/ab67616d0000b27352ff352cd503ceddbaf1d533,https://open.spotify.com/album/1KnajNEXp1OcOaw02DKKGB,51
"Sentimiento, Elegancia y Maldad","sentimiento, elegancia y maldad",None cold prepare TV table.,2013-11-19,00:37:22,10,https://i.scdn.co/image/ab67616d0000b273172b684f5e6482f962b9a045,https://open.spotify.com/album/61bxUN2kedSEPjpvuLtSYe,51
"Arca Special Edition, Vol. 1","arca special edition, vol. 1",Hand physical entire hand.,2010-01-01,00:38:20,10,https://i.scdn.co/image/ab67616d0000b2735ef746dd363ad68c40127b23,https://open.spotify.com/album/2LMo7FDyGyObmktZd37fYj,51
El Fenomeno,el fenomeno,Respond someone he whatever those.,2008-12-08,00:35:18,10,https://i.scdn.co/image/ab67616d0000b273294ea58a8ac4ae598c46d0b0,https://open.spotify.com/album/5MLBEmgDNIltSfxvXesq9s,51
Así Como Suena,asi como suena,Yes area boy compare nor give continue.,2015-10-07,00:28:27,9,https://i.scdn.co/image/ab67616d0000b273fa1132e9a32a7c2e0d697d6f,https://open.spotify.com/album/4mYxB32ExNnwJp9r4AsF9V,52
att.,att.,Season official eye rock.,2024-04-05,00:29:04,10,https://i.scdn.co/image/ab67616d0000b27310dfb6ef442ace580aa5a2bf,https://open.spotify.com/album/1yjQhgZzBmfdS0CTj6xQ2h,53
sorry es que soy bipolarrr,sorry es que soy bipolarrr,Method whatever create also.,2024-06-13,00:03:40,1,https://i.scdn.co/image/ab67616d0000b27320ae37c841b7fefbbf3858e5,https://open.spotify.com/album/3ll4hIoivK1wpONt3MDxg5,53
curita,curita,Draw town head policy story answer as.,2024-03-06,00:02:25,1,https://i.scdn.co/image/ab67616d0000b273410c0ac60f904cfee43baede,https://open.spotify.com/album/5f4MobWELNT92mglh3yITJ,53
En Esta Boca,en esta boca,On bed above relationship moment.,2024-02-22,00:02:50,1,https://i.scdn.co/image/ab67616d0000b27389f41bae6b0fedc8a981c1d1,https://open.spotify.com/album/6qnMEFQU0SY891OuIaOwjF,53
"Young Miko: Bzrp Music Sessions, Vol. 58","young miko: bzrp music sessions, vol. 58",Product worker way place specific fire.,2024-01-10,00:03:07,1,https://i.scdn.co/image/ab67616d0000b2737b58409ef2fbbcd4d0f4ed05,https://open.spotify.com/album/0HMTQPl6rJmP7sQEaRYHRo,53
Señorita,senorita,Surface reflect radio issue region explain.,2023-11-30,00:03:11,1,https://i.scdn.co/image/ab67616d0000b273ee781e600fd53549334a860b,https://open.spotify.com/album/5IP7D7qqhizcvATXIizxYC,53
COLMILLO,colmillo,Group company compare ask wall.,2023-10-11,00:04:25,1,https://i.scdn.co/image/ab67616d0000b273d7badb5b6a146e47964ad577,https://open.spotify.com/album/13ldB6ttaAq7okb9DHIscN,53
CC (Remix),cc (remix),Quickly religious need should office.,2023-09-29,00:04:02,1,https://i.scdn.co/image/ab67616d0000b273f0357063012019844b900c2b,https://open.spotify.com/album/3kHMc3S6pPS9gODoTwhDTH,53
Tempo,tempo,Someone know particularly phone well.,2023-08-17,00:01:47,1,https://i.scdn.co/image/ab67616d0000b27357a8ae550678a98ba6f90822,https://open.spotify.com/album/5TWuIEEbRxkdyn9HgiV69n,53
Now Or Never,now or never,Hear church miss down bag.,2020-07-24,00:36:09,10,https://i.scdn.co/image/ab67616d0000b273d7097c9ef004af43f08713d5,https://open.spotify.com/album/1BBjdKgGAqwdEvcvqBOGfT,54
Mela,mela,Deal leave body this house moment.,2024-07-04,00:03:15,1,https://i.scdn.co/image/ab67616d0000b27364b50c9e5c30d949f7682425,https://open.spotify.com/album/7q5XH7ugzAYII887WeYT44,54
Maquillaje (feat. Yexel) [Remix],maquillaje (feat. yexel) [remix],Lot page oil form government fill especially.,2024-05-30,00:04:46,1,https://i.scdn.co/image/ab67616d0000b273ec0e7f8b2d1bb8a194f644cc,https://open.spotify.com/album/59Ji10hPziKlf6wB8N2KFZ,54
Pa' La Discoteca,pa' la discoteca,Fire development including.,2024-04-25,00:03:05,1,https://i.scdn.co/image/ab67616d0000b2732159ac7897dafebd6065a427,https://open.spotify.com/album/5cw4UOBuP8dnGjQMcJBmxl,54
Shortycita,shortycita,Him he bring society pretty eight.,2024-04-09,00:02:19,1,https://i.scdn.co/image/ab67616d0000b2736f9b93489ec34989da68443a,https://open.spotify.com/album/5eCHu3hfmxVTfQrIOPjvYs,54
Amor Con Rabia,amor con rabia,Thousand catch appear with police note.,2024-02-22,00:03:18,1,https://i.scdn.co/image/ab67616d0000b273cc24f498001ca03e0aef6fca,https://open.spotify.com/album/7uwXFum7WBXQXqoGWHM52e,54
Busy,busy,Cover nor approach church popular upon paper.,2023-11-30,00:03:06,1,https://i.scdn.co/image/ab67616d0000b27319e1396e56ce1b675d7565f8,https://open.spotify.com/album/0wlVnLbR6sM6le32GHW6mH,54
Oh Na Na,oh na na,Modern customer police skin upon provide wish.,2023-09-28,00:04:00,1,https://i.scdn.co/image/ab67616d0000b2734ebebf4616e32d0bf4600d41,https://open.spotify.com/album/4BHwvzeYB8EY1stGUBUlFg,54
Como Antes,como antes,Think agree item gun voice bill picture.,2023-09-07,00:02:48,1,https://i.scdn.co/image/ab67616d0000b273fef436eccc120245781fa419,https://open.spotify.com/album/2QkUssVSrsngGCtJtuGRjy,54
Rescato (Remix),rescato (remix),Of safe worry off structure enjoy thought sit.,2023-08-03,00:04:19,1,https://i.scdn.co/image/ab67616d0000b273627dd927ebf3bcd0835f8c9f,https://open.spotify.com/album/4zdgdDFyYNofC0d5GHmHhB,54
SOL,sol,Baby more interview purpose.,2024-05-30,00:02:51,1,https://i.scdn.co/image/ab67616d0000b27310602ed73748da5f7207caaa,https://open.spotify.com/album/7L1I3NJYAHRxX6OKE0S0iS,55
"Ride Or Die, Pt. 2","ride or die, pt. 2",Popular mind although director.,2024-04-18,00:05:43,2,https://i.scdn.co/image/ab67616d0000b27314c2bc6e79b87f232c38b547,https://open.spotify.com/album/0KSwPzRWwU14SH8QUCwfM0,55
Rebel Moon: Songs of the Rebellion (Inspired by the Netflix Films),rebel moon: songs of the rebellion (inspired by the netflix films),Itself political she lose news order clear real.,2024-04-05,00:16:41,5,https://i.scdn.co/image/ab67616d0000b2737666f8f871b87de05c84ed24,https://open.spotify.com/album/4oVBVsC9zkTHzeCRSmrAE3,55
Jalo!,jalo!,Just respond for another benefit as yeah.,2024-03-29,00:02:31,1,https://i.scdn.co/image/ab67616d0000b273164b10cfc9434bc6aa87342f,https://open.spotify.com/album/4hs8CJjSwKRUmhzbh7N21h,55
Chivirika,chivirika,Actually word year ready rock.,2023-12-26,00:02:34,1,https://i.scdn.co/image/ab67616d0000b27339cf2b0ba9a2f8f735b54f0d,https://open.spotify.com/album/29R1S8UwEGLqO2FVNJVQ0r,55
Daddy (feat. Sexyy Red),daddy (feat. sexyy red),Skin lead already own. Partner often power bed.,2023-12-05,00:03:13,1,https://i.scdn.co/image/ab67616d0000b2734ccd502893a203383b803135,https://open.spotify.com/album/2aUz6JfGW97Min1HueLXmp,55
La Muerte,la muerte,Too marriage blood major goal.,2023-11-14,00:02:35,1,https://i.scdn.co/image/ab67616d0000b273136c86452fb692bf74dd9854,https://open.spotify.com/album/1ZJGLtqMXz4zETyqQw6qDG,55
CANDY,candy,Suffer choice of true record management boy.,2023-10-31,00:01:53,1,https://i.scdn.co/image/ab67616d0000b2731459ebac82b7b3563f772e2f,https://open.spotify.com/album/0dusXsSrBWmJiT4VlzImcN,55
NO PARE (REMIX),no pare (remix),Candidate section what arrive free.,2023-09-21,00:03:05,1,https://i.scdn.co/image/ab67616d0000b27310ae9756e2bb2fd17fcafd12,https://open.spotify.com/album/4pyrlTwGbdl8NXHVSNty1k,55
KILO (Remixes),kilo (remixes),Compare field indeed however certain go.,2023-06-30,00:22:31,5,https://i.scdn.co/image/ab67616d0000b273f37b6989d4ef07750f6d74a9,https://open.spotify.com/album/0TKez4ifvhEcDn0Z6uDeaX,55
She Knows (with Akon) [The Remixes],she knows (with akon) [the remixes],Memory benefit message join a bed.,2023-12-29,00:21:08,7,https://i.scdn.co/image/ab67616d0000b273c8cdf1dec0c521453eb1a7cb,https://open.spotify.com/album/7j3QBadmH19j8ucnxTmVIQ,57
7,7,Good former heavy nor first.,2018-09-14,00:31:56,10,https://i.scdn.co/image/ab67616d0000b27367e400c9be79e6b0b0086880,https://open.spotify.com/album/5rbJtzuXtpIP0Ykk7ewIit,57
7: Anniversary Edition,7: anniversary edition,Discuss quite suffer. Type their finish stock.,2018-01-01,00:31:57,10,https://i.scdn.co/image/ab67616d0000b273274e9346f3ed6b53345a0d40,https://open.spotify.com/album/0GJU424RiEyYQTLbZcHVA7,57
Listen Again,listen again,Situation late respond no.,2015-11-27,00:36:55,10,https://i.scdn.co/image/ab67616d0000b273048f37d7b1bba62b93f1009a,https://open.spotify.com/album/7bpWEp24oHgUs08ImjakfU,57
Listen,listen,Us society next give need culture.,2014-11-10,00:36:55,10,https://i.scdn.co/image/ab67616d0000b2733862d62a50dc6b928651bdeb,https://open.spotify.com/album/77UW17CZFyCaRLHdHeofZu,57
Listen (Track by Track),listen (track by track),Front upon them. Moment close agree south.,2014-10-05,00:05:07,10,https://i.scdn.co/image/ab67616d0000b2731f95d10977fd47e354203248,https://open.spotify.com/album/4cm27QX0Xqgflgtj5ns470,57
Nothing but the Beat (Ultimate Edition),nothing but the beat (ultimate edition),Recent official exist meeting.,2012-12-07,00:35:28,10,https://i.scdn.co/image/ab67616d0000b2735c8cfe4b2c4aa89c9c92108e,https://open.spotify.com/album/4bTjdxhRRUiWfwj200f9Kl,57
Nothing but the Beat (Bonus Commentary),nothing but the beat (bonus commentary),Still alone a one.,2011-08-30,00:07:43,10,https://i.scdn.co/image/ab67616d0000b2739e2306e1d82d02d10eaa41ae,https://open.spotify.com/album/5VCRvTmcCP2XIC7AtcttFx,57
Nothing but the Beat - The Electronic Album,nothing but the beat - the electronic album,Open star table important.,2011-08-24,00:46:48,10,https://i.scdn.co/image/ab67616d0000b2738acf833312939d8f4ff3fa58,https://open.spotify.com/album/3evsUmSaqqRzNeOTzuhpBP,57
One More Love,one more love,Star office share trip. Bar hand another.,2010-11-22,00:36:07,10,https://i.scdn.co/image/ab67616d0000b2731813115ff10c5f5ae028321d,https://open.spotify.com/album/7fHeCs5cgtXYqxBPG1iK1n,57
Funk Wav Bounces Vol. 2,funk wav bounces vol. 2,Left worker social total.,2022-08-05,00:30:07,10,https://i.scdn.co/image/ab67616d0000b273c5844aae8ac82f2a4fa6415e,https://open.spotify.com/album/49DV9eFp2xTdtO7veew5xS,58
Funk Wav Bounces Vol.1,funk wav bounces vol.1,Few energy become thousand ahead show.,2017-06-30,00:37:44,10,https://i.scdn.co/image/ab67616d0000b2734d3fa5ce7ba599f4fd7803ef,https://open.spotify.com/album/2HaqChIDc5go3qxVunBDK0,58
Motion,motion,Other large ahead summer direction move.,2014-10-31,00:37:24,10,https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756,https://open.spotify.com/album/48zisMeiXniWLzOQghbPqS,58
18 Months,18 months,Face join hair experience.,2012-10-29,00:30:06,9,https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b,https://open.spotify.com/album/7w19PFbxAjwZ7UVNp9z0uT,58
Ready For The Weekend,ready for the weekend,Letter main claim spend bed central particular.,2009-08-17,00:38:43,10,https://i.scdn.co/image/ab67616d0000b27300d6698dffdf81ce656dd26f,https://open.spotify.com/album/5Zcfw8EsPjQBJZhA0EbcyM,58
I Created Disco,i created disco,Agent this let yes business cost chance.,2007-06-18,00:42:04,10,https://i.scdn.co/image/ab67616d0000b273d0b33add0e39952e5e721226,https://open.spotify.com/album/5gDkjyJBK8VLZjKqqUd79K,58
Lovers In A Past Life (Remixes),lovers in a past life (remixes),Whether believe every attorney option beyond.,2024-05-03,00:25:29,8,https://i.scdn.co/image/ab67616d0000b273cbccafbab29f9a44020fa04a,https://open.spotify.com/album/4PL4OGq2DUo9JREtklB4cE,58
Lovers In A Past Life (with Rag'n'Bone Man) [LP Giobbi Remix],lovers in a past life (with rag'n'bone man) [lp giobbi remix],Mr per station money.,2024-04-19,00:05:34,2,https://i.scdn.co/image/ab67616d0000b273012ff837b675b5bd80d2d2f8,https://open.spotify.com/album/6LnXGn4Jb2lSb819kklrgn,58
Lovers In A Past Life (with Rag'n'Bone Man) [Felix Jaehn Remix],lovers in a past life (with rag'n'bone man) [felix jaehn remix],Policy item face sort nation.,2024-04-12,00:05:33,2,https://i.scdn.co/image/ab67616d0000b273c8c965fac330ade9b27d4fb6,https://open.spotify.com/album/5nUzwTEVEA9BWtlxMJdyuY,58
Lovers In A Past Life (with Rag'n'Bone Man) [Cassö Remix],lovers in a past life (with rag'n'bone man) [casso remix],Most human key role. Art in yourself very sound.,2024-04-05,00:05:20,2,https://i.scdn.co/image/ab67616d0000b27306024f5305f3a61e9c490714,https://open.spotify.com/album/38SRp24Yc5iZsYbSfZGZKn,58
VULTURES 1,vultures 1,Science word admit keep defense to discussion.,2024-02-09,00:31:19,10,https://i.scdn.co/image/ab67616d0000b2730a31b4026a452ae8c3f97a76,https://open.spotify.com/album/30zwjSQEodaUXCn11nmiVF,59
Las Mujeres Ya No Lloran,las mujeres ya no lloran,Believe thus without statement end.,2024-03-22,00:28:52,10,https://i.scdn.co/image/ab67616d0000b2737501431ca5326c536f90610c,https://open.spotify.com/album/3fonA82Hl7huJiQCwKkzGA,60
Laundry Service: Washed and Dried (Expanded Edition),laundry service: washed and dried (expanded edition),According wide hit energy point themselves how.,2021-11-12,00:38:21,10,https://i.scdn.co/image/ab67616d0000b2739015cb1108929d137daeaa4d,https://open.spotify.com/album/6WaruQqgJzSlSzZz2YdUku,60
Shakira In Concert: El Dorado World Tour,shakira in concert: el dorado world tour,Score single recent end social share business.,2019-11-13,00:42:14,10,https://i.scdn.co/image/ab67616d0000b273d03426b113b34c233430ec75,https://open.spotify.com/album/5EdGgMlsJ7bv8IUqkaaPZN,60
El Dorado,el dorado,Most physical Republican good.,2017-05-26,00:34:31,10,https://i.scdn.co/image/ab67616d0000b273d05d3aad30c5fb7614893cf5,https://open.spotify.com/album/6bUxh58rYTL67FS8dyTKMN,60
Shakira. (Expanded Edition),shakira. (expanded edition),Church city baby national debate.,2014-03-14,00:34:37,10,https://i.scdn.co/image/ab67616d0000b2736acbe587dd91d142c5e364e1,https://open.spotify.com/album/4nXeW6UwZGBnv6zops27k4,60
